"日付","純売上","純売上(税抜)","消費税","免税額","総売上","値引き","ポイント利用","外税受領","売上対象外","送料","手数料","原価","粗利","販売点数","返品数","取引数","取引単価","客数","客単価","予算設定金額","予算達成率","クーポン利用"
"2026/04/01","33248","30241","3007","0","34148","900","0","0","0","0","0","3861","29387","54","0","23","1446","30","1108","0","0.0","0"
"2026/04/02","17960","16330","1630","0","18360","400","0","0","0","0","0","1526","16434","27","0","9","1996","17","1056","0","0.0","0"
"2026/04/03","26984","24544","2440","0","27884","900","0","0","0","0","0","3247","23737","44","0","20","1349","29","930","0","0.0","0"
"2026/04/04","12100","11000","1100","0","13100","1000","0","0","0","0","0","2653","9447","22","0","10","1210","11","1100","0","0.0","0"
"2026/04/05","19400","17638","1762","0","20700","1300","0","0","0","0","0","3166","16234","35","0","13","1492","18","1078","0","0.0","0"
"2026/04/06","24932","22685","2247","0","25832","900","0","0","0","0","0","2614","22318","38","0","13","1918","19","1312","0","0.0","0"
"2026/04/07","10640","9676","964","0","10940","300","0","0","0","0","0","1352","9288","16","0","8","1330","10","1064","0","0.0","0"
"2026/04/08","13834","12585","1249","0","14234","400","0","0","0","0","0","2289","11545","27","3","13","1064","17","814","0","0.0","0"
"2026/04/09","9610","8739","871","0","9910","300","0","0","0","0","0","1681","7929","16","0","9","1068","10","961","0","0.0","0"
"2026/04/10","16400","14912","1488","0","17100","700","0","0","0","0","0","4142","12258","27","0","8","2050","15","1093","0","0.0","0"
"2026/04/11","25800","23458","2342","0","27200","1400","0","0","0","0","0","5928","19872","43","0","17","1518","24","1075","0","0.0","0"
"2026/04/12","31020","28202","2818","0","33020","2000","0","0","0","0","0","6817","24203","57","3","23","1349","29","1070","0","0.0","0"
"2026/04/13","10994","10002","992","0","11094","100","0","0","0","0","0","2136","8858","19","0","7","1571","10","1099","0","0.0","0"
"2026/04/14","13620","12384","1236","0","14220","600","0","0","0","0","0","2893.9","10726.1","20","0","10","1362","11","1238","0","0.0","0"
"2026/04/15","23040","20950","2090","0","23640","600","0","0","0","0","0","5209","17831","41","4","21","1097","23","1002","0","0.0","0"
"2026/04/16","15068","13733","1335","0","15468","400","0","0","0","0","0","3592","11476","27","1","13","1159","14","1076","0","0.0","0"
"2026/04/17","21680","19715","1965","0","22580","900","0","0","0","0","0","4605","17075","34","0","17","1275","20","1084","0","0.0","0"
"2026/04/18","35370","32169","3201","0","37570","2200","0","0","0","0","0","8957","26413","62","0","26","1360","34","1040","0","0.0","0"
"2026/04/19","22440","20403","2037","0","23940","1500","0","0","0","0","0","4959.9","17480.1","38","0","14","1603","22","1020","0","0.0","0"
"2026/04/20","20120","18293","1827","0","21320","1200","0","0","0","0","0","4845","15275","36","1","16","1258","20","1006","0","0.0","0"
"2026/04/21","35020","31841","3179","0","36420","1400","0","0","0","0","0","7897","27123","58","0","23","1523","33","1061","0","0.0","0"
"2026/04/22","13640","12404","1236","0","14040","400","0","0","0","0","0","2468","11172","22","0","9","1516","11","1240","0","0.0","0"
"2026/04/23","21752","19795","1957","0","22152","400","0","0","0","0","0","4726","17026","42","6","15","1450","22","989","0","0.0","0"
"2026/04/24","24080","21896","2184","0","24980","900","0","0","0","0","0","5064","19016","40","0","19","1267","22","1095","0","0.0","0"
"2026/04/25","27680","25168","2512","0","28980","1300","0","0","0","0","0","6380","21300","47","0","19","1457","30","923","0","0.0","0"
"2026/04/26","27870","25338","2532","0","29870","2000","0","0","0","0","0","7026","20844","49","0","22","1267","25","1115","0","0.0","0"
"2026/04/27","11580","10528","1052","0","11980","400","0","0","0","0","0","2397","9183","23","2","11","1053","12","965","0","0.0","0"
"2026/04/28","12704","11556","1148","0","13404","700","0","0","0","0","0","2894","9810","23","0","12","1059","14","907","0","0.0","0"
"2026/04/29","0","0","0","0","","","","0","","","","","","","","","","","","0","",""
"2026/04/30","20500","18640","1860","0","21400","900","0","0","0","0","0","4791","15709","35","0","17","1206","19","1079","0","0.0","0"
"合計","599086","544825","54261","0","625486","26400","0","0","0","0","0","120116.8","478969.2","1022","20","437","1371","571","1049","0","0.0","0"
"前月実績","677960","616412","61548","0","711460","33500","0","0","0","0","0","88628.9","589331.1","989","31","473","1433","618","1097","0","0.0","0"
"前月比","88.4","88.4","88.2","-","87.9","78.8","-","-","-","-","-","135.5","81.3","103.3","","92.4","95.7","92.4","95.6","-","-","-"
"前年実績","788400","716794","71606","0","788400","0","0","0","0","0","0","0","788400","434","22","130","6065","126","6257","0","0.0","0"
"前年比","76","76","75.8","-","79.3","-","-","-","-","-","-","-","60.8","235.5","","336.2","22.6","453.2","16.8","-","-","-"
