"部門ID","部門コード","部門名","純売上","純売上(税抜)","消費税","原価","純売上構成比","販売点数","返品数","販売点数構成比"
"8000015","","スイーツ","99390","90335","9055","26730","25.10","285","16","34.71"
"8000019","","ランチ","91940","83609","8331","16987","23.22","76","2","9.55"
"8000023","","コーヒー,ラテ","86180","78446","7734","10925","21.76","186","5","23.35"
"8000024","","ソーダ，ジュース，ティー","44500","40483","4017","1992.2","11.24","102","6","12.39"
"8000006","","ドリンク","27700","25192","2508","3079.6","7.00","53","4","6.32"
"8000022","","2F シェアラウンジ","27500","25004","2496","0","6.95","23","1","2.84"
"8000017","","パンケーキ","14340","13037","1303","2214","3.62","13","1","1.55"
"8000018","","テイクアウト","2616","2400","216","600","0.66","10","2","1.03"
"8000020","","パンケーキ（セットドリンク）","1800","1638","162","0","0.45","9","0","1.16"
"8000021","","ランチ（セットドリンク）","0","0","0","0","0.00","57","2","7.10"
"合計","","","395966","360144","35822","62527.8","100","814","39","100"
