"時間帯","純売上","純売上(税抜)","消費税","構成比","総売上","値引き","ポイント利用","外税受領","売上対象外","販売点数","返品数","取引数","取引単価","客数","客単価","クーポン利用"
"00:00 - 01:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"01:00 - 02:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"02:00 - 03:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"03:00 - 04:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"04:00 - 05:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"05:00 - 06:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"06:00 - 07:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"07:00 - 08:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"08:00 - 09:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"09:00 - 10:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"10:00 - 11:00","16710","15195","1515","4.2","17110","400","","0","","32","0","13","1285","15","1114","0"
"11:00 - 12:00","49620","45120","4500","12.5","50020","400","","0","","99","6","37","1341","43","1154","0"
"12:00 - 13:00","63024","57326","5698","15.9","63124","100","","0","","118","9","52","1212","57","1106","0"
"13:00 - 14:00","69518","63233","6285","17.6","69918","400","","0","","146","2","54","1287","66","1053","0"
"14:00 - 15:00","67360","61257","6103","17","67760","400","","0","","140","13","55","1225","64","1053","0"
"15:00 - 16:00","66890","60824","6066","16.9","67790","900","","0","","145","6","66","1013","75","892","0"
"16:00 - 17:00","54344","49460","4884","13.7","54744","400","","0","","119","3","46","1181","56","970","0"
"17:00 - 18:00","4100","3729","371","1","4100","","","0","","3","0","3","1367","3","1367","0"
"18:00 - 19:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"19:00 - 20:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"20:00 - 21:00","4400","4000","400","1.1","4400","","","0","","12","0","3","1467","4","1100","0"
"21:00 - 22:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"22:00 - 23:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"23:00 - 24:00","0","0","0","","0","","","","","0","0","0","0","0","0",""
"合計","395966","360144","35822","100","398966","3000","","0","0","814","39","329","1204","383","1034","0"
