"商品コード","商品名","部門名","純売上","純売上(税抜)","消費税","原価","純売上構成比","販売点数","返品数","販売点数構成比","在庫数","品番","カラー","サイズ","グループコード"
"","部門販売商品","2F シェアラウンジ","86140","78314","7826","0","17.61","16","0","1.93","0","","","",""
"100","発酵スパイスカレー","ランチ","56320","51216","5104","16940","11.51","44","0","5.31","-154","","","",""
"101","2種盛りカレー","ランチ","34040","30955","3085","0","6.96","25","2","2.77","-23","","","",""
"50","バスクチーズ","スイーツ","31200","28353","2847","10556","6.38","55","3","6.27","-351","","","",""
"6","カフェラテ（ICE）","コーヒー,ラテ","22800","20742","2058","3458","4.66","38","0","4.58","-128","","","",""
"3","深煎りコーヒー","コーヒー,ラテ","20400","18563","1837","1190","4.17","35","1","4.10","-225","","","",""
"51","タルトタタン","スイーツ","20400","18542","1858","4488","4.17","36","2","4.10","-205","","","",""
"53","ティラミス","スイーツ","17400","15814","1586","6757","3.56","29","0","3.50","-204","","","",""
"54","クラシックプリン","スイーツ","14400","13089","1311","1224","2.94","25","1","2.90","-222","","","",""
"5","カフェラテ","コーヒー,ラテ","13200","12020","1180","2002","2.70","22","0","2.65","-444","","","",""
"4","深煎りコーヒー（ICE）","コーヒー,ラテ","12000","10914","1086","700","2.45","21","1","2.41","-49","","","",""
"17","レモネード","ソーダ，ジュース，ティー","10800","9823","977","0","2.21","19","1","2.17","-18","","","",""
"35","スフレパンケーキ","パンケーキ","9900","9000","900","2214","2.02","9","0","1.09","-40","","","",""
"99","牛すじスパイスカレー","ランチ","9660","8785","875","0","1.97","7","0","0.84","-7","","","",""
"18","ピーチティー","ソーダ，ジュース，ティー","9600","8734","866","0","1.96","16","0","1.93","-20","","","",""
"55","オレンジケーキ","スイーツ","9590","8726","864","0","1.96","20","4","1.93","-30","","","",""
"1","中煎りコーヒー","コーヒー,ラテ","9580","8733","847","1136","1.96","17","1","1.93","-277","","","",""
"200","1日利用","2F シェアラウンジ","7920","7200","720","0","1.62","10","1","1.09","-9","","","",""
"203","寄席","2F シェアラウンジ","7500","6819","681","0","1.53","15","0","1.81","-15","","","",""
"5","カフェラテ","ドリンク","6200","5638","562","1001","1.27","11","0","1.33","-444","","","",""
"11","ブレンドハーブティー","ソーダ，ジュース，ティー","6000","5459","541","0","1.23","11","1","1.21","-175","","","",""
"12","りんごのストレートジュース","ソーダ，ジュース，ティー","6000","5459","541","1250","1.23","10","0","1.21","-139","","","",""
"20","バスクチーズ","スイーツ","5550","5046","504","2030","1.13","10","0","1.21","-351","","","",""
